"id","app","name","applied"
1,contenttypes,"0001_initial","2022-06-05 16:18:18.477"
2,auth,"0001_initial","2022-06-05 16:18:18.529"
3,admin,"0001_initial","2022-06-05 16:18:18.546"
4,admin,"0002_logentry_remove_auto_add","2022-06-05 16:18:18.556"
5,admin,"0003_logentry_add_action_flag_choices","2022-06-05 16:18:18.566"
6,contenttypes,"0002_remove_content_type_name","2022-06-05 16:18:18.936"
7,auth,"0002_alter_permission_name_max_length","2022-06-05 16:18:18.947"
8,auth,"0003_alter_user_email_max_length","2022-06-05 16:18:18.958"
9,auth,"0004_alter_user_username_opts","2022-06-05 16:18:18.969"
10,auth,"0005_alter_user_last_login_null","2022-06-05 16:18:19.262"
11,auth,"0006_require_contenttypes_0002","2022-06-05 16:18:19.268"
12,auth,"0007_alter_validators_add_error_messages","2022-06-05 16:18:19.278"
13,auth,"0008_alter_user_username_max_length","2022-06-05 16:18:19.321"
14,auth,"0009_alter_user_last_name_max_length","2022-06-05 16:18:19.331"
15,auth,"0010_alter_group_name_max_length","2022-06-05 16:18:19.652"
16,auth,"0011_update_proxy_permissions","2022-06-05 16:18:19.662"
17,auth,"0012_alter_user_first_name_max_length","2022-06-05 16:18:19.672"
18,sessions,"0001_initial","2022-06-05 16:18:19.679"
19,NflWeb,"0001_initial","2022-06-05 16:41:51.527"
20,sites,"0001_initial","2022-06-15 22:28:55.326"
21,sites,"0002_alter_domain_unique","2022-06-15 22:28:55.335"
22,NflWeb,"0002_ptsweek","2022-06-15 22:31:10.796"
23,NflWeb,"0003_delete_okladakolo","2022-06-28 16:25:16.384"
24,NflWeb,"0004_okladakolo_delete_oklada","2022-07-06 19:44:26.511"
