"id_oklada_utakmica","utakmica_id","pobjednik_utakmica","dvostruko","oklada_kolo_id"
321,33,8,0,1070
322,34,5,1,1070
323,35,12,1,1070
324,36,14,0,1070
325,37,24,0,1070
326,38,17,0,1070
327,39,3,0,1070
328,40,28,0,1070
329,41,32,0,1070
330,42,23,0,1070
331,43,16,0,1070
332,44,1,0,1070
333,45,27,0,1070
334,46,29,0,1070
335,47,10,0,1070
336,48,21,0,1070
337,17,22,0,1071
338,18,24,0,1071
339,19,28,0,1071
340,20,31,0,1071
341,21,16,1,1071
342,22,29,0,1071
343,23,5,0,1071
344,24,30,0,1071
345,25,2,0,1071
346,26,25,0,1071
347,27,6,0,1071
348,28,10,0,1071
349,29,1,0,1071
350,30,13,0,1071
351,31,4,0,1071
352,32,23,0,1071
353,17,18,0,1072
354,18,24,0,1072
355,19,8,0,1072
356,20,11,0,1072
357,21,14,1,1072
358,22,19,0,1072
359,23,5,0,1072
360,24,26,0,1072
361,25,15,0,1072
362,26,27,0,1072
363,27,9,0,1072
364,28,12,0,1072
365,29,20,0,1072
366,30,7,0,1072
367,31,32,0,1072
368,32,23,0,1072
369,33,30,0,1073
370,34,5,1,1073
371,35,12,1,1073
372,36,14,0,1073
373,37,4,0,1073
374,38,11,0,1073
375,39,26,0,1073
376,40,28,0,1073
377,41,20,0,1073
378,42,31,0,1073
379,43,16,0,1073
380,44,1,0,1073
381,45,27,0,1073
382,46,13,0,1073
383,47,25,0,1073
384,48,21,0,1073
