"id_utakmica","kolo","gosti","domacini","pobjednik","datum_vrijeme","gosti_spread","domaci_spread","rez_doma","rez_gosti"
1,1,4,15,,2022-09-09 02:20:00.000,,,"",""
2,1,19,2,,2022-09-11 19:00:00.000,,,"",""
3,1,25,7,,2022-09-11 19:00:00.000,,,"",""
4,1,30,6,,2022-09-11 19:00:00.000,,,"",""
5,1,23,11,,2022-09-11 19:00:00.000,,,"",""
6,1,26,24,,2022-09-11 19:00:00.000,,,"",""
7,1,3,28,,2022-09-11 19:00:00.000,,,"",""
8,1,8,5,,2022-09-11 19:00:00.000,,,"",""
9,1,14,12,,2022-09-11 19:00:00.000,,,"",""
10,1,21,32,,2022-09-11 19:00:00.000,,,"",""
11,1,13,17,,2022-09-11 19:00:00.000,,,"",""
12,1,18,1,,2022-09-11 19:00:00.000,,,"",""
13,1,20,22,,2022-09-11 19:00:00.000,,,"",""
14,1,29,9,,2022-09-12 02:20:00.000,,,"",""
15,1,10,27,,2022-09-13 02:15:00.000,,,"",""
16,1,16,31,,2022-09-11 19:00:00.000,,,"",""
17,2,22,18,18,2022-09-16 02:15:00.000,-7,7,"",""
18,2,24,3,3,2022-09-18 19:00:00.000,3,-3,"",""
19,2,28,8,8,2022-09-18 19:00:00.000,15,-15,"",""
20,2,31,11,31,2022-09-18 19:00:00.000,-5,5,"",""
21,2,14,16,16,2022-09-18 19:00:00.000,-1,1,"",""
22,2,29,19,19,2022-09-18 19:00:00.000,-3,3,"",""
23,2,5,21,5,2022-09-18 19:00:00.000,5,-5,"",""
24,2,26,30,30,2022-09-18 19:00:00.000,-2,2,"",""
25,2,2,15,2,2022-09-19 22:05:00.000,7,7,"",""
26,2,27,25,25,2022-09-19 22:05:00.000,11,-11,"",""
27,2,6,9,9,2022-09-19 22:25:00.000,2,-2,"",""
28,2,12,10,10,2022-09-19 22:25:00.000,11,-11,"",""
29,2,1,20,1,2022-09-19 22:25:00.000,8,-8,"",""
30,2,7,13,13,2022-09-19 02:20:00.000,-9,9,"",""
31,2,32,4,4,2022-09-20 02:15:00.000,4,-4,"",""
32,2,17,23,17,2022-09-20 02:30:00.000,6,-6,"",""
33,3,30,8,30,2022-09-23 02:15:00.000,-3,3,"",""
34,3,19,5,5,2022-09-25 19:00:00.000,1,-1,"",""
35,3,12,7,12,2022-09-25 19:00:00.000,-12,12,"",""
36,3,18,14,18,2022-09-25 19:00:00.000,-5,5,"",""
37,3,4,24,4,2022-09-25 19:00:00.000,-3,3,"",""
38,3,11,17,17,2022-09-25 19:00:00.000,-7,7,"",""
39,3,3,26,3,2022-09-25 19:00:00.000,-8,8,"",""
40,3,6,28,6,2022-09-25 19:00:00.000,2,-2,"",""
41,3,20,32,32,2022-09-25 19:00:00.000,-4,4,"",""
42,3,23,31,23,2022-09-25 19:00:00.000,1,-1,"",""
43,3,16,22,16,2022-09-26 22:05:00.000,-3,3,"",""
44,3,15,1,1,2022-09-26 22:25:00.000,5,-5,"",""
45,3,2,27,2,2022-09-26 22:25:00.000,-6,6,"",""
46,3,13,29,13,2022-09-26 22:25:00.000,-11,11,"",""
47,3,25,10,10,2022-09-26 02:20:00.000,-12,12,"",""
48,3,9,21,9,2022-09-27 02:15:00.000,-7,7,"",""
49,4,24,6,,2022-09-30 02:15:00.000,,,"",""
50,4,17,19,,2022-10-02 15:30:00.000,,,"",""
51,4,8,2,,2022-10-02 19:00:00.000,,,"",""
52,4,4,3,,2022-10-02 19:00:00.000,,,"",""
53,4,31,9,,2022-10-02 19:00:00.000,,,"",""
54,4,27,11,,2022-10-02 19:00:00.000,,,"",""
55,4,22,12,,2022-10-02 19:00:00.000,,,"",""
56,4,32,14,,2022-10-02 19:00:00.000,,,"",""
57,4,7,21,,2022-10-02 19:00:00.000,,,"",""
58,4,16,23,,2022-10-02 19:00:00.000,,,"",""
59,4,28,30,,2022-10-02 19:00:00.000,,,"",""
60,4,1,5,,2022-10-02 22:05:00.000,,,"",""
61,4,26,13,,2022-10-02 22:25:00.000,,,"",""
62,4,10,20,,2022-10-02 22:25:00.000,,,"",""
63,4,18,29,,2022-10-03 02:20:00.000,,,"",""
64,4,15,25,,2022-10-04 02:15:00.000,,,"",""
65,5,14,10,,2022-10-07 02:15:00.000,,,"",""
66,5,21,13,,2022-10-09 15:30:00.000,,,"",""
67,5,30,4,,2022-10-09 19:00:00.000,,,"",""
68,5,22,8,,2022-10-09 19:00:00.000,,,"",""
69,5,12,16,,2022-10-09 19:00:00.000,,,"",""
70,5,7,17,,2022-10-09 19:00:00.000,,,"",""
71,5,11,26,,2022-10-09 19:00:00.000,,,"",""
72,5,27,19,,2022-10-09 19:00:00.000,,,"",""
73,5,24,28,,2022-10-09 19:00:00.000,,,"",""
74,5,2,29,,2022-10-09 19:00:00.000,,,"",""
75,5,32,31,,2022-10-09 19:00:00.000,,,"",""
76,5,25,5,,2022-10-09 22:05:00.000,,,"",""
77,5,23,1,,2022-10-09 22:25:00.000,,,"",""
78,5,9,15,,2022-10-09 22:25:00.000,,,"",""
79,5,6,3,,2022-10-10 02:20:00.000,,,"",""
80,5,20,18,,2022-10-11 02:15:00.000,,,"",""
81,6,31,7,,2022-10-14 02:15:00.000,,,"",""
82,6,25,2,,2022-10-16 19:00:00.000,,,"",""
83,6,26,8,,2022-10-16 19:00:00.000,,,"",""
84,6,28,13,,2022-10-16 19:00:00.000,,,"",""
85,6,16,14,,2022-10-16 19:00:00.000,,,"",""
86,6,17,24,,2022-10-16 19:00:00.000,,,"",""
87,6,6,19,,2022-10-16 19:00:00.000,,,"",""
88,6,3,21,,2022-10-16 19:00:00.000,,,"",""
89,6,29,30,,2022-10-16 19:00:00.000,,,"",""
